Word    Frequency     Frequency (%)
i     20     6,73%
you     17     5,72%
m     14     4,71%
it     10     3,37%
the     8     2,69%
they     6     2,02%
see     6     2,02%
just     6     2,02%
your     5     1,68%
a     4     1,35%
to     4     1,35%
ll     4     1,35%
that     4     1,35%
like     4     1,35%
and     4     1,35%
in     3     1,01%
smokin     3     1,01%
s     3     1,01%
t     3     1,01%
but     3     1,01%
up     3     1,01%
never     3     1,01%
gettin     2     0,67%
let     2     0,67%
cash     2     0,67%
re     2     0,67%
slow     2     0,67%
even     2     0,67%
blowin     2     0,67%
get     2     0,67%
fast     2     0,67%
runnin     2     0,67%
til     2     0,67%
me     2     0,67%
bitch     2     0,67%
rollin     2     0,67%
know     2     0,67%
away     2     0,67%
make     2     0,67%
on     2     0,67%
smoke     2     0,67%
kravitz     1     0,34%
ya     1     0,34%
bring     1     0,34%
jonathan     1     0,34%
hope     1     0,34%
put     1     0,34%
precipitation     1     0,34%
usher     1     0,34%
block     1     0,34%
because     1     0,34%
nobody     1     0,34%
if     1     0,34%
give     1     0,34%
nothing     1     0,34%
come     1     0,34%
then     1     0,34%
slowly     1     0,34%
wanna     1     0,34%
stop     1     0,34%
left     1     0,34%
tryna     1     0,34%
looking     1     0,34%
forest     1     0,34%
don     1     0,34%
cut     1     0,34%
ain     1     0,34%
another     1     0,34%
roll     1     0,34%
thinking     1     0,34%
sun     1     0,34%
minds     1     0,34%
into     1     0,34%
fade     1     0,34%
whoa     1     0,34%
dark     1     0,34%
have     1     0,34%
so     1     0,34%
lights     1     0,34%
think     1     0,34%
stutter     1     0,34%
break     1     0,34%
breathe     1     0,34%
off     1     0,34%
pourin     1     0,34%
breathless     1     0,34%
fuckin     1     0,34%
fly     1     0,34%
meet     1     0,34%
shit     1     0,34%
through     1     0,34%
bitches     1     0,34%
die     1     0,34%
cuttin     1     0,34%
lenny     1     0,34%
ridin     1     0,34%
gon     1     0,34%
promise     1     0,34%
run     1     0,34%
got     1     0,34%
smile     1     0,34%
blade     1     0,34%
hold     1     0,34%
hit     1     0,34%
habit     1     0,34%
from     1     0,34%
jenny     1     0,34%
alley     1     0,34%
doesn     1     0,34%
new     1     0,34%
taylor     1     0,34%
static     1     0,34%
em     1     0,34%
intentions     1     0,34%
check     1     0,34%
my     1     0,34%
flowing     1     0,34%
respect     1     0,34%
important     1     0,34%
knife     1     0,34%
hurts     1     0,34%
once     1     0,34%
bones     1     0,34%
try     1     0,34%
parents     1     0,34%
changed     1     0,34%
sittin     1     0,34%
some     1     0,34%
joe     1     0,34%
hummer     1     0,34%
bop     1     0,34%
memory     1     0,34%
hopin     1     0,34%
death     1     0,34%
young     1     0,34%
rappin     1     0,34%
for     1     0,34%
their     1     0,34%
cold     1     0,34%
life     1     0,34%
we     1     0,34%
miss     1     0,34%
can     1     0,34%
sayin     1     0,34%
of     1     0,34%
hard     1     0,34%
thomas     1     0,34%
burn     1     0,34%
butter     1     0,34%
will     1     0,34%
blunt     1     0,34%
start     1     0,34%
gets     1     0,34%
clothes     1     0,34%
room     1     0,34%
really     1     0,34%
with     1     0,34%
what     1     0,34%
mean     1     0,34%
creeping     1     0,34%
there     1     0,34%
time     1     0,34%
happens     1     0,34%
